ARNC
AAPL
ABAX
DDC
ARCB
ABM
ABMD
ABT
GOLD
AB
ADSK
ACAT
TAP
ACET
ACG
ACI
IEP
RAMP
ADBE
ADI
ADM
ADX
AEM
AEG
AEP
AEPI
AES
AET
AFL
AGCO
AGN
HES
AIG
AIN
AIR
AJG
AKRX
ALU
MATX
ALK
ALKS
ALOG
ALTR
AMAT
AMD
AME
TWX
AVD
AMGN
TVTY
AMSC
AMWD
AN
ANAT
ANN
AON
APA
APC
APD
APH
APOG
ATU
AIRM
ARG
AAN
ARW
ASA
ASB
ASEI
ASGN
ASH
ASR
ASTE
GAS
OA
ATML
ATNI
ATO
ATRO
ATW
AU
ADP
AMAG
AVP
AVT
AVY
AXAS
AXP
AZO
AZZ
B
BA
BAC
BAX
BBBY
BBVA
BBY
BC
BCE
BCR
BCS
BDX
BEAV
BEN
BF_A
BF_B
BGG
BHE
BHI
BHP
BID
BIO
CASC
BK
BKH
BKE
WRB
BCPC
NCS
OIBR
BLL
BLX
BMI
BMS
BMTC
BMY
BNS
BOBE
BOH
BOKF
BXS
BONT
BOOM
BPL
BPOP
BPT
BRC
BRK_A
BRO
BSET
BSTC
BSX
BTX
BT
MTRN
CAL
CA
CACC
CACI
CATO
CAG
CAKE
CAMP
CAJ
CAS
CASY
CAT
CATY
CB
CBI
CBM
CBRL
CBSH
CBU
CBT
CCC
CCEP
C
CCK
CCU
CDE
CAH
CDNS
CECE
CEF
CELG
CERN
CFR
CGNX
CHCO
CHD
CKP
CHFC
CHN
CPK
CI
CINF
CKEC
CKH
CL
CLC
CDZI
CLF
CLH
CLM
CLX
CMA
CMC
CMCS_A
CMCS_K
CMO
CRK
CMS
CMTL
CNA
CNW
CNL
CNMD
CMD
COG
COHU
COHR
COKE
COLB
COO
COST
COT
CP
CPB
CPF
CQB
CR
CRH
CRRC
CRS
CRUS
CRVL
CSC
CSCO
CSL
CSWC
CSX
CTAS
CTB
CTL
CTO
CTS
CUB
CULP
CMI
CUZ
CVBF
CVC
CW
CWT
CX
CY
CYN
FTR
D
DBD
ASNA
DCI
DCO
DD
DDS
DE
GURE
DGII
CVA
DHR
DIA
DIOD
DIS
DLX
DNB
DNP
RRD
DOV
DOW
DRE
LCII
DHI
UFS
DTE
DUK
DVN
ATGE
DY
EAT
EV
EBF
ECL
ECOL
ED
EDE
EFII
EFX
EGN
EGP
ELP
ELY
EMC
EMR
ENZN
EOG
EQT
EA
ESE
ESL
ESRX
ESV
ETN
ETR
EXAR
EXPD
EZPW
F
OPY
CLGX
FARM
FAST
FAX
FNB
FCE_A
FCF
FCNC_A
M
FDO
FDX
FELE
FFBC
FBP
FICO
FINL
FISV
FITB
FLO
FLXS
FMBI
FMC
FOE
S
NEE
FRED
FRME
FRT
FSS
FSTR
FUL
FULT
FUN
FUR
GAB
GAM
GBCI
GBL
GVA
TGNA
BGC
GCO
GD
GE
INO
RHP
AXLL
GGG
GHM
GIB
GIGA
GIII
GILD
GIM
GIS
GK
GLT
GLW
GSK
GLF
GATX
GNCM_A
GNTX
GPC
GPS
GRA
GSBC
GT
GTY
GWW
AJRD
HA
HAE
HAL
MNST
HAR
HAS
HVT
HRC
HBAN
HWC
HCC
WELL
HCP
HCSG
HD
HOG
HE
HEI
HELE
HNGR
HILL
TRIB
HL
HMC
HMN
HMSY
HFC
HOLX
HOT
HOV
HP
HQH
HQL
HRB
EHC
HRL
EQC
HRS
HSC
HSY
HTCH
HTLD
HUBB
HUM
HPQ
HXL
IBCP
IBM
ICA
ICUI
IDA
IDCC
BIIB
IDTI
IDXX
IEX
IFF
TILE
IG
IGT
DIN
IIIN
IIVI
IMGN
IMKT_A
IMMU
IMO
INDB
TCX
AEGN
INT
INTC
IP
IPG
IO
IQI
IR
IRF
IONS
ITW
IVC
IX
JBHT
JBSS
JCI
JCP
JEC
JJSF
JKHY
JNJ
K
KAMN
KBAL
KBH
KCLI
KELY_A
KEX
KEY
KIM
VIVO
KLAC
KLIC
KMB
KMT
KO
KR
KSS
KSU
LABL
LAKE
LANC
LAYN
LDL
LDR
LEG
LEN
LFUS
SR
LNN
KATE
LLTC
LLY
LM
LNC
LNCE
EZCH
LOW
LPX
LRCX
LXU
LSCC
LTC
LB
L
XCRA
JEF
LUV
LUX
NBBC
LYTS
LZB
MAG
MKL
MAN
MTW
SM
MAS
MTZ
MAT
MBI
MIDD
MKC
MCD
MCR
MDC
MDP
MDR
MDT
MDU
MED
MEG
MEN
MENT
MEOH
MERC
CVS
MEI
MFC
MFI
MGA
MGM
MGRC
SPGI
MIN
MITK
MLHR
MLI
MMC
MMM
MMSI
MMT
MMU
MSA
MNRO
MNR
MO
MOD
MOG_A
MHK
RT
MSI
MCS
MCY
MRK
MRO
MRTN
MSCC
MSFT
MSM
POWR
MTG
MTRX
MTSC
MTB
MTX
MU
MUR
MXF
MXIM
MXWL
MYD
MYE
MYI
MYL
MYN
NAC
NANO
NAV
NAVG
NBL
NBR
NBTB
NE
NDSN
NEM
NEOG
NAVB
NEWP
NFG
NHI
NI
NIO
NJR
NKE
NMA
THC
NMO
NNN
JWN
NOC
NPBC
NPI
NPK
NPM
NPP
NR
NQI
NQM
NQU
NSC
NTRS
ES
NUE
NUV
NVO
NVR
NWL
NWLI
NWN
TFCF
NYT
OCR
ODFL
ODP
OFIX
OGE
OHI
OI
OII
OKE
ONB
OLN
BRS
OMC
OMI
ORB
ORBK
ORCL
ORI
OSK
OTTR
OXM
OXY
PHX
PRK
PATK
FCFS
PAYX
PBCT
PBI
PBT
PBY
PCAR
PCG
PCH
PCL
PCP
TPC
PDLI
PDS
PDT
PEG
PEI
PEO
PEP
PDCE
PFE
PG
PGR
PH
RNST
PHG
PHI
PHM
PIR
PKD
PKY
PLAB
PLL
PLXS
RDNT
PTC
PNC
PNM
PNR
PNW
PNY
POM
FIZZ
POT
POWL
PPG
PPL
PPR
PPT
PRGO
PRGS
PL
PSB
WTR
PTSI
PVH
PVAC
CSH
PWR
PX
ARGO
KWR
QCOM
QDEL
NVLN
NXGN
ZQK
R
RAD
RAVN
RBC
DORM
RDC
REGN
RENT
RES
RGEN
RGS
RGLD
RGR
RHI
RJF
RLI
RTK
ROG
ROK
ROL
ROP
ROST
RPM
RTI
RTN
RIO
RVT
RYL
SAFM
BSAC
SSL
T
NEON
SBR
SBUX
SCE_PRB
SCG
SCHW
SCHL
SCL
SCLN
SMG
SEB
SEE
SEIC
SF
SFNC
SFY
SHLM
ICON
SHW
SIAL
SIGI
SIGM
STC
SIVB
SJI
JOE
SJT
SJW
SKYW
SLB
SLM
AOS
SMTC
SMP
SMRT
SNA
SNE
PII
SNPS
SNV
SO
SONC
SON
SOR
SPA
TRV
CAA
SPLS
SPNC
SPXC
SCI
SSP
STAA
STBA
STT
SAN
STI
STJ
STKL
STR
STE
SYK
TLRD
SUP
SUSQ
SVU
SWK
SWN
SWX
SWY
SXI
SYMC
SYY
TAC
TNC
TARO
TCF
TCO
TMP
TDS
TDW
TDY
TE
TECD
TECH
TEF
TER
TEVA
TEX
TFX
TG
TEN
THO
TIF
TJX
TKR
TISI
TMK
TMO
TOL
TOT
TM
TPL
TR
ZAZA
TRMB
TRMK
TRN
TROW
TRP
TRR
TRST
ANDV
TSS
TTC
TTI
TXN
TXT
TY
JCI
TYL
TSN
OUBS
UBSI
UDR
UFCS
UFI
UGI
UAM
UHS
UHT
UIL
UIS
UL
UN
UNF
UNH
KMPR
UNM
UNP
UNT
USA
USAK
USG
MUX
USM
USPH
ESND
UTL
UTX
UVV
VAL
VMI
VAR
VFC
VGM
CBS
VKQ
SURG
VLO
VMC
VMO
VLY
VNO
VOD
VOXX
VRTX
VSEC
VSH
VTSS
EVLV
WABC
WBA
WASH
TTEK
WTS
WBK
WBS
WLB
WDC
WDFC
WEC
WERN
WFC
WFM
WAFD
WG
WGL
WGO
