ARNC
AAPL
ABAX
ARCB
ABM
ABMD
ABT
GOLD
AB
ADSK
VBF
TAP
ACET
IEP
RAMP
ADBE
ADI
ADM
ADX
AEM
AEG
AEP
AES
AET
AFL
ATAX
AGCO
HES
AHPI
AIG
AIN
AIR
AJG
AKRX
MATX
ALK
ALKS
ALOG
ALOT
ALX
AMAT
AMD
AME
TWX
AVD
AMGN
TVTY
AMSC
AMSW_A
AMWD
AN
ANAT
AON
APA
APB
APC
APD
APH
APOG
ATU
AAN
ARW
ASA
ASB
ASGN
ASH
ASR
ASTE
OA
ATNI
ATO
ATRO
AU
ADP
AMAG
AVP
AVT
AVHI
AVY
AXAS
AXP
AZO
AZZ
B
BA
BAC
BAX
BBBY
BBVA
BBY
BC
BCE
BCS
BCV
INSI
BDX
BEN
BF_A
BF_B
BGG
BHE
BHP
BID
BIO
CASC
BK
BKH
BKE
WRB
BKT
BCPC
NCS
BLL
BLX
BMI
BMS
BMTC
BMY
BNS
BOBE
BOH
BOKF
BXS
BOOM
BPL
BPOP
BPT
BRC
BRK_A
BRO
BRT
BSET
BSTC
BSX
BTX
BT
MTRN
PTVC_B
CAL
CA
CACC
CACI
CATO
CAG
CAKE
CAMP
CAJ
CASY
CAT
CATY
CBI
CBM
CBRL
CBSH
CBU
CBT
CCC
CCEP
C
CCK
CCU
CDE
CAH
CDNS
CECE
CEF
CELG
CVM
CERN
CET
CFR
CGNX
AEF
CHCO
CHD
CHFC
CHN
CPK
CI
CINF
CIA
CKH
CL
CDZI
CLF
CLH
CLM
CLSN
CLX
CMA
CMC
CMCS_A
CMO
CRK
CMS
CMTL
CNA
CNMD
CMD
JNP
COG
COHU
COHR
COKE
COLB
COO
COST
COT
CP
CPB
CPF
CR
CRH
CRS
CRUS
CRVL
CSBR
CSCO
CSL
CSS
CSWC
CSX
CTAS
CTB
CTL
CTO
CTS
CTWS
CUB
CULP
CMI
CUZ
CVBF
TSI
CW
CWT
CX
CXE
CY
CYBE
FTR
D
DAIO
DBD
ASNA
DCI
DCO
DDS
DE
DGII
CVA
DHR
DIA
DIOD
DIS
DLX
TGA
DMF
DNB
DNP
RRD
DOV
DRE
LCII
DHI
DSM
UFS
DTE
USAU
DUC
DUK
DVN
ATGE
DXR
DY
EAT
EV
EBF
ECL
ECOL
ED
EDUC
EFII
EFX
EGN
EGP
ELP
ELY
EMCI
EMF
EML
EMR
ENZ
EOG
EQT
EA
ESE
ESIO
ESL
ESRX
ESV
ETN
ETR
EXPD
EZPW
F
OPY
CLGX
FARM
FAST
FAX
FNB
FBNC
FC
FCE_A
FCF
FCNC_A
M
FDX
FELE
FFBC
FFKT
FBP
FICO
FINL
FISV
FITB
FLIC
FLO
FLXS
FMBI
FMC
FOE
S
FONR
NEE
FRD
FRED
FRME
FRT
FSS
FSTR
FUL
FULT
FUN
FUNC
FUND
GAB
GAM
GBCI
GBL
GVA
TGNA
BGC
GCO
GD
GE
INO
RHP
GF
GGG
GHM
GIB
GIII
GILD
GIM
GIS
GLT
GLW
GSK
GATX
GNCM_A
GNTX
GPC
GPS
GRA
GRC
GROW
GSBC
GT
GTY
GV
GWW
AJRD
HA
HAE
HAL
MNST
HAS
HVT
HRC
HBAN
HWC
WELL
HCP
HCSG
HD
HOG
HE
HEI
HELE
HNGR
HIFS
HL
HMC
HMN
HMSY
HFC
HOLX
HOV
HP
HQH
HQL
HRB
EHC
HRL
EQC
HRS
HSC
HSY
HTLD
HUBB
HUM
HURC
HWKN
HPQ
HXL
HYB
IBCP
IBM
ICUI
IDA
IDCC
BIIB
IDTI
IDXX
IEX
IFF
TILE
DIN
IIIN
IIVI
IMGN
IMKT_A
IMMU
IMO
INDB
TCX
AEGN
INT
INTC
IP
IPG
IO
IQI
IR
IRL
IONS
ITIC
ITW
IVC
IX
JBHT
JBSS
JCP
JEC
JHS
JJSF
JKHY
JNJ
JOF
K
KAMN
KBAL
KBH
KELY_A
KEX
KEY
KF
KIM
VIVO
KLAC
KLIC
KMB
KEM
KMM
KMT
KO
KOPN
KOSS
KR
KSM
KSS
KSU
KTF
KYO
LABL
LAKE
LANC
LAYN
LCUT
LDF
LDL
AXGN
LEE
LEG
LEN
LEO
LFUS
SR
LNN
LLY
LM
LNC
LNCE
LOW
LPX
LRCX
LXU
LSCC
LTC
LB
L
XCRA
JEF
LUV
LYTS
LZB
MKL
MAN
MTW
SM
MAS
MTZ
MAT
MBI
MIDD
MCA
MKC
MCD
MCR
MDC
MDP
MDR
MDT
MDU
MED
MEN
MEOH
MERC
CVS
MEI
MFC
MFM
MGA
MGM
MGRC
SPGI
MLR
MIN
MITK
MIY
MLAB
MLHR
MLI
MMC
MMM
MMSI
MMT
MMU
MSA
MNRO
MNR
MO
MOD
MOG_A
MHK
MSI
MPA
TELL
MQT
MQY
MCS
MCY
MRK
MRO
MRTN
MSB
MSCC
MSEX
MSF
MSFT
MSM
MSON
MTG
MTRX
MTSC
MTB
MTX
MU
MUR
MUS
MVF
MXF
MXIM
MXWL
MYC
MYD
MYE
MYF
MYI
MYJ
MYL
MYN
NAC
NAN
NANO
NAV
NAVG
NAZ
NBL
NBR
NBTB
NC
NCA
NE
NDSN
NEM
NEOG
NRT
NFG
NHC
NHI
NI
NJR
NKE
NL
THC
NNN
JWN
NOC
NPK
NR
NQP
NRIM
NSC
NSSC
NTP
NTRS
ES
NUE
NUM
NUO
NUV
NVO
NVR
NWL
NWLI
NWN
TFCF
NXQ
NYT
ITI
ODFL
ODP
OFIX
OGE
OHI
OI
OII
OKE
ONB
OLN
BRS
OLP
OMC
OMI
ORBK
ORCL
ORI
OSK
OTTR
OXM
OXY
PHX
PRK
PATK
FCFS
PAYX
PBCT
PBI
PBT
PCAR
PCF
PCG
PCG_PRA
PCH
PMD
TPC
PDEX
PDLI
PDS
PDT
PEG
PEI
PEO
PEP
PDCE
PFD
PFE
PFO
PG
PGR
PH
RNST
PHII_K
PHG
PHI
PHM
PIM
PIR
PKD
PKE
PLAB
VBIV
PLXS
RDNT
PMM
PTC
PNC
PNM
PNR
PNW
FIZZ
POT
POWL
PPG
PPL
PPR
PPT
PRGO
PRGS
PSB
WTR
PAR
PTSI
PVH
PVAC
PWR
PX
ARGO
KWR
QCOM
QDEL
NVLN
NXGN
R
RAD
RAVN
RBC
DORM
RDC
REGN
RES
RGEN
RGS
RGLD
RGR
RHI
RJF
RLI
ROG
ROK
ROL
ROP
ROST
RPM
RTN
RIO
RVT
SAFM
BSAC
SSL
T
SBI
SBR
SBUX
SCG
SCHW
SCHL
SCL
SMG
SEB
SEE
SEIC
SF
SFE
SFNC
SHLM
ICON
SHW
SIGI
SIGM
STC
SIVB
SJI
JOE
SJT
SJW
SKY
SKYW
SLB
SLM
IIN
AOS
SMTC
SMP
SMRT
SNA
SNE
PII
SNPS
SNV
SO
SONC
SON
SOR
SPA
SPAR
TRV
CAA
SPXC
SRCE
SCI
SSP
STAA
STBA
STT
SAN
STFC
STI
STKL
STE
SYK
TLRD
SUP
SVU
SWK
SWN
SWX
SWZ
SXI
SYMC
SYNL
SYY
TNC
TARO
TCF
TCO
TMP
TWIN
TDS
TDY
TECD
TECH
TEF
TER
TEVA
TEX
TFX
TG
TEN
THFF
THO
TIF
TJX
TGB
TKR
TISI
TMK
TMO
TOL
TOT
TM
TPL
TR
TRC
TRMB
TRMK
TRN
TRNS
TROW
TRP
TRST
CTG
ANDV
TSS
TTC
TTF
TTI
TXN
TXT
TY
JCI
TYL
TSN
UBSI
UDR
UFCS
UFI
UGI
UHS
UHT
UIS
UL
ULBI
UMH
UN
UNF
UNH
KMPR
UNM
UNP
UNT
UQM
USA
USAK
USG
MUX
USM
USPH
ESND
UTL
UTMD
UTX
UVV
VMI
VAR
VFC
VGM
VHI
CBS
VICR
VKQ
VLGE_A
VLO
VMC
VMO
VLY
VNO
VOD
